"","req_tot","repartition_requetes","done","problematic"
"34","AU-ID(16149273600) OR AU-ID(16174452400) OR AU-ID(16175750500) OR AU-ID(16176404700) OR AU-ID(16176781100) OR AU-ID(16177223500) OR AU-ID(16186017600) OR AU-ID(16203522300) OR AU-ID(16204060000) OR AU-ID(16204340000)","Mathis2",0,0
"35","AU-ID(16209298000) OR AU-ID(16213727200) OR AU-ID(16229279600) OR AU-ID(16230073100) OR AU-ID(16231033400) OR AU-ID(16232677300) OR AU-ID(16233948200) OR AU-ID(16234517600) OR AU-ID(16239468700) OR AU-ID(16240610900)","Mathis2",0,0
"36","AU-ID(16241604600) OR AU-ID(16242096600) OR AU-ID(16243910000) OR AU-ID(16243978300) OR AU-ID(16244574000) OR AU-ID(16246117500) OR AU-ID(16300803400) OR AU-ID(16302307500) OR AU-ID(16302693200) OR AU-ID(16303764300)","Mathis2",0,0
"37","AU-ID(16304627500) OR AU-ID(16306190900) OR AU-ID(16306253100) OR AU-ID(16307080200) OR AU-ID(16308543100) OR AU-ID(16309857700) OR AU-ID(16310387400) OR AU-ID(16311695000) OR AU-ID(16315654600) OR AU-ID(16316301900)","Mathis2",0,0
"38","AU-ID(16317430400) OR AU-ID(16318143500) OR AU-ID(16400964500) OR AU-ID(16403271000) OR AU-ID(16403459800) OR AU-ID(16418000900) OR AU-ID(16419967600) OR AU-ID(16424314900) OR AU-ID(16425681400) OR AU-ID(16432503100)","Mathis2",0,0
"39","AU-ID(16443904800) OR AU-ID(16444371800) OR AU-ID(16446944800) OR AU-ID(16454611300) OR AU-ID(16471564500) OR AU-ID(16479810800) OR AU-ID(16494944200) OR AU-ID(16506291300) OR AU-ID(16508369500) OR AU-ID(16548768800)","Mathis2",0,0
"40","AU-ID(16549296800) OR AU-ID(16550373100) OR AU-ID(16556241700) OR AU-ID(16635823800) OR AU-ID(16639637600) OR AU-ID(16640240600) OR AU-ID(16641167700) OR AU-ID(16641896300) OR AU-ID(16642383800) OR AU-ID(16644120500)","Mathis2",0,0
"41","AU-ID(16647173400) OR AU-ID(16685586100) OR AU-ID(16686415800) OR AU-ID(16687221900) OR AU-ID(16740657000) OR AU-ID(16745337100) OR AU-ID(16750578600) OR AU-ID(16833581300) OR AU-ID(16833610300) OR AU-ID(16833649700)","Mathis2",0,0
"42","AU-ID(16835478800) OR AU-ID(16836144700) OR AU-ID(16940187700) OR AU-ID(16940438900) OR AU-ID(16940531100) OR AU-ID(16946339400) OR AU-ID(17134689100) OR AU-ID(17135089100) OR AU-ID(17135449400) OR AU-ID(17136155000)","Mathis2",0,0
"43","AU-ID(17343413200) OR AU-ID(17344103300) OR AU-ID(17344495100) OR AU-ID(17345873500) OR AU-ID(17346654500) OR AU-ID(17346966500) OR AU-ID(17347289100) OR AU-ID(17635344700) OR AU-ID(17635825200) OR AU-ID(18037821800)","Mathis2",0,0
"44","AU-ID(18039895600) OR AU-ID(18041621200) OR AU-ID(18133459500) OR AU-ID(18435879000) OR AU-ID(18435941200) OR AU-ID(18435953400) OR AU-ID(18438967900) OR AU-ID(18439042400) OR AU-ID(18537289200) OR AU-ID(18634566400)","Mathis2",0,0
"45","AU-ID(18833345000) OR AU-ID(18836182300) OR AU-ID(18937711300) OR AU-ID(19235170600) OR AU-ID(19235774600) OR AU-ID(19638319800) OR AU-ID(19638633800) OR AU-ID(19738190900) OR AU-ID(19933362800) OR AU-ID(19934137900)","Mathis2",0,0
"46","AU-ID(20334798100) OR AU-ID(20336388600) OR AU-ID(20336545800) OR AU-ID(20336859100) OR AU-ID(20434253200) OR AU-ID(20434624800) OR AU-ID(20434756100) OR AU-ID(20435495400) OR AU-ID(20435835300) OR AU-ID(20436351500)","Mathis2",0,0
"47","AU-ID(20734264700) OR AU-ID(20833376700) OR AU-ID(21033243100) OR AU-ID(21639024400) OR AU-ID(21643179200) OR AU-ID(21647125000) OR AU-ID(21733762600) OR AU-ID(21733908100) OR AU-ID(21734171700) OR AU-ID(21734266300)","Mathis2",0,0
"48","AU-ID(21735656500) OR AU-ID(21738958900) OR AU-ID(21742964300) OR AU-ID(21743532400) OR AU-ID(21743803900) OR AU-ID(21744199800) OR AU-ID(21833689000) OR AU-ID(21933521700) OR AU-ID(21934295500) OR AU-ID(22034024700)","Mathis2",0,0
"49","AU-ID(22134275700) OR AU-ID(22134902900) OR AU-ID(22234282700) OR AU-ID(22235321600) OR AU-ID(22235804900) OR AU-ID(22236042800) OR AU-ID(22236204800) OR AU-ID(22434098100) OR AU-ID(22633985900) OR AU-ID(22634327300)","Mathis2",0,0
"50","AU-ID(22833837200) OR AU-ID(22834888900) OR AU-ID(22836015100) OR AU-ID(22836118300) OR AU-ID(22933425300) OR AU-ID(22933643900) OR AU-ID(22933908200) OR AU-ID(22935311400) OR AU-ID(22935751100) OR AU-ID(22936462500)","Mathis2",0,0
"51","AU-ID(22938086900) OR AU-ID(22939035500) OR AU-ID(22939179600) OR AU-ID(22940141100) OR AU-ID(22940975700) OR AU-ID(22942840600) OR AU-ID(22945369600) OR AU-ID(22948817600) OR AU-ID(22951260900) OR AU-ID(22951309100)","Mathis2",0,0
"52","AU-ID(22956610200) OR AU-ID(22957917200) OR AU-ID(22978396900) OR AU-ID(22984574100) OR AU-ID(22986927100) OR AU-ID(22998421900) OR AU-ID(23004194900) OR AU-ID(23005132600) OR AU-ID(23005270400) OR AU-ID(23005756600)","Mathis2",0,0
"53","AU-ID(23006204200) OR AU-ID(23007260500) OR AU-ID(23008107600) OR AU-ID(23008831800) OR AU-ID(23010828100) OR AU-ID(23011254600) OR AU-ID(23012391500) OR AU-ID(23020079300) OR AU-ID(23024060900) OR AU-ID(23026328100)","Mathis2",0,0
